,index,id,usuario,tweet,ubicacion,nombre_de_pila,codigo_pais,hora_pais,fecha,hora,mes,año,dia,dia_semana,periodo,Latitud,Longitud,sentimiento
14,759,1751710741478949120,PetraWilsson1,"Israel tiene evidencias de unos 12 empleados de UNRWA participaron en el pogromo del 7/10 junto a Hamás
Varios de ellos *asesinaron y secuestraron israelíes. Hay que desmantelar la UNRWA y utilizar sus fondos para la reconstrucción de la Franja de Gaza cuando finalice la guerra.",sin ubicación,@PetraWilsson🇪🇺🇮🇱🇺🇦🇧🇻🇫🇮🇸🇪🇩🇰🇪🇦🇺🇲,sin ubicación,2024-01-28 21:56:00,2024-01-28,1900-01-01 20:56:00,enero,2024,28,domingo,Noche,,,Neutral
15,760,1751710511064855040,Patrici42481554,"Muy lindo gaza y los terroristas la acabaron con los túneles del terror, utilizaron cientos de niños que murieron, dependían de agua y electricidad de israel y nunca dejaron de atacar a Israel con sus cohetes,brutos bestias, pero ellos necesitan la guerra y gaza no les importa",sin ubicación,Patricia Peña,sin ubicación,2024-01-28 21:55:05,2024-01-28,1900-01-01 20:55:05,enero,2024,28,domingo,Noche,,,Negativo
16,761,1751710432388070912,PetraWilsson1,"Israel tiene evidencias de unos 12 empleados de UNRWA participaron en el pogromo del 7/10 junto a Hamás
Varios de ellos *asesinaron y secuestraron israelíes. Hay que desmantelar la UNRWA y utilizar sus fondos para la reconstrucción de la Franja de Gaza cuando finalice la guerra.",sin ubicación,@PetraWilsson🇪🇺🇮🇱🇺🇦🇧🇻🇫🇮🇸🇪🇩🇰🇪🇦🇺🇲,sin ubicación,2024-01-28 21:54:46,2024-01-28,1900-01-01 20:54:46,enero,2024,28,domingo,Noche,,,Neutral
17,762,1751710031509159936,Egotada,“Está claro que aquí hay 3 guerras diferentes. Está la oficial en la que Israel se ha embarcado para derrocar a Hamás y devolver a los secuestrados. Está la guerra de la facción mesiánica para reconstruir Gush Katif [reasentarse en Gaza]. Y está la de supervivencia de Netanyahu”.,España,Miss Antropía,ES,2024-01-28 21:53:11,2024-01-28,1900-01-01 20:53:11,enero,2024,28,domingo,Noche,40.0,-4.0,Positivo
18,987,1751708276708815104,AnshelPfeffer,Desde la noche está claro que hay 3 guerras diferentes aquí.Existe la guerra oficial en la que Israel se ha embarcado para colapsar a Hamas y restaurar a los secuestradores.Existe la guerra de la facción mesiánica para reconstruir Katif.Y está la guerra de supervivencia de Netanyahu.,Israel,Anshel Pfeffer אנשיל פפר,IL,2024-01-28 22:46:12,2024-01-28,1900-01-01 20:46:12,enero,2024,28,domingo,Noche,31.5,34.75,Positivo
19,1092,1751709933907664896,sandro_pozzi,La Resistencia Islámica proclama la autoria del ataque y advierte que seguirá escalando estás acciones mientras EE UU apoye a Israel. Considera todos los activos en la región objetivos legítimos. Se registraron 150 incidentes en Siria e Irak  desde el inicio de la guerra en Gaza,sin ubicación,Sandro Pozzi,sin ubicación,2024-01-28 21:52:48,2024-01-28,1900-01-01 20:52:48,enero,2024,28,domingo,Noche,,,Neutral
20,1093,1751678084716065024,sandro_pozzi,El presidente del Congreso considera que Biden debe mandar un mensaje claro de que estos ataques contra las tropas de EE UU no van a ser tolerados https://t.co/rNPzAejmRr,sin ubicación,Sandro Pozzi,sin ubicación,2024-01-28 19:46:14,2024-01-28,1900-01-01 18:46:14,enero,2024,28,domingo,Noche,,,Negativo
21,1094,1751709789950755072,PovedaJB,"2) La guerra de Gaza sigue extendiéndose. Después de dos meses en los que milicias apoyadas por Irán -el principal respaldo del grupo terrorista Hamas- han llevado a cabo decenas de ataques con misiles y drones contra las Fuerzas Armadas de EEUU -el mayor apoyo de Israel-, tres soldados estadounidenses han muerto y otros 34 han resultado heridos en un bombardeo con un dron suicida ocurrido el sábado por la noche.",España,Jose Poveda,ES,2024-01-28 21:52:13,2024-01-28,1900-01-01 20:52:13,enero,2024,28,domingo,Noche,40.0,-4.0,Neutral
22,1319,1751706798875164928,GuerraSoraya,"Defenderse de que?
De Gaza disparaban hasta 5.000 misiles en un fin de semana, Israel tuvo que inventar el Domo para defenderse!
Imaginese correr todo el día a un refugio porque Hamas se dedicó todo el día y toda la noche a lanzar misiles!
Israel atacó por la canallada de Hamas",United States,Soraya Guerra,US,2024-01-28 15:40:20,2024-01-28,1900-01-01 20:40:20,enero,2024,28,domingo,Noche,38.0,-97.0,Neutral
23,1401,1751706490392456960,Goque11,"Occidente y su colapso moral:  retira fondos de los que dependen millones de personas por petición de Israel, que hace de la desinformación un pilar de su agresión a Gaza, pero no actúa contra las empresas donde trabajan los reservistas israelíes que comenten crímenes de guerra.",España,Zalete Dena.,ES,2024-01-28 21:39:07,2024-01-28,1900-01-01 20:39:07,enero,2024,28,domingo,Noche,40.0,-4.0,Negativo
24,1626,1751706036862385920,GuerraSoraya,"Hamas no tiene ninguna responsabilidad en esa guerra entre Israel y ellos?
Sabe cuál es el gran problema de Gaza permitir que una organización terrorista islámica a quien la vida y el bienestar de los palestinos no les importa hayan tomado el poder!
Sus líderes viven en el lujo!",United States,Soraya Guerra,US,2024-01-28 15:37:18,2024-01-28,1900-01-01 20:37:18,enero,2024,28,domingo,Noche,38.0,-97.0,Negativo
25,1708,1751704207889974016,GantielSigol,"Acuerdo, en ambos lados hay fanáticos.
En Gaza, son la enorme mayoría, son quienes gobiernan y toman decisiones.
En cambio en Israel, son minoría y están apartados del grupo q toma decisiones en relación a la guerra.
Por lo tanto tu comparación no tiene paralelo con la realidad.",Chile,🇨🇱 Sigol Gantiel 🇮🇱,CL,2024-01-28 17:30:02,2024-01-28,1900-01-01 20:30:02,enero,2024,28,domingo,Noche,-30.0,-71.0,Negativo
26,1758,1751704196532024064,OnceNoticiasTV,"El director de la CIA, William Burns, y altos cargos de   e  conversaron este domingo en  sobre un eventual acuerdo para una tregua en la guerra de 


https://t.co/OtIFBYB5G3",México,Once Noticias,MX,2024-01-28 14:30:00,2024-01-28,1900-01-01 20:30:00,enero,2024,28,domingo,Noche,23.0,-102.0,Neutral
27,1844,1751703593021775872,Ezequiel8186564,"No, ¿porque Israel comenzó la guerra contra los palestinos desde que su estado fue fundado expulsándolos de su tierra? Strip y Cisjordania?",sin ubicación,Ezequiel tavares,sin ubicación,2024-01-28 21:27:36,2024-01-28,1900-01-01 20:27:36,enero,2024,28,domingo,Noche,,,Negativo
28,1845,1751699587771846912,jefsilva652835,"Todos vimos la guerra en la franja de Gaza y vimos a niños y mujeres que fueron asesinados y destrucción y escombros en todas partes, Israel de ISRAEL de cambiar la narración utilizando su poder económico y propaganda para cambiar la narrativa ahora acusa a los empleados de la ONU.",sin ubicación,KIM HUMBERTO JR,sin ubicación,2024-01-28 21:11:41,2024-01-28,1900-01-01 20:11:41,enero,2024,28,domingo,Noche,,,Negativo
29,1846,1751698829403927040,descifraguerra,"ESTAMOS EN DIRECTOATAQUE contra EE.UU. en JORDANIA
¿ISRAEL inicia la COLONIZACIÓN de GAZA?

➡️ ¡ENTRA!
https://t.co/tqfCTcjoXu
Con    y",sin ubicación,Descifrando la Guerra,sin ubicación,2024-01-28 21:08:40,2024-01-28,1900-01-01 20:08:40,enero,2024,28,domingo,Noche,,,Neutral
30,1847,1751698785195986944,jefsilva652835,"Todos vimos la guerra en la franja de Gaza y vimos a niños y mujeres que fueron asesinados, destrucción y escombros en todas partes, hay un intento fallido de Israel de cambiar la narración utilizando su poder económico y propaganda, pero lo que prevalece son las imágenes.",sin ubicación,KIM HUMBERTO JR,sin ubicación,2024-01-28 21:08:30,2024-01-28,1900-01-01 20:08:30,enero,2024,28,domingo,Noche,,,Negativo
31,1848,1751698016249999872,enfoquejudio,"ISRAEL GUERRA - 12 ministros israelíes y 15 diputados del Gobierno en un acto en Jerusalén en el que exhortaron a ""fomentar la migración"" de palestinos, colonizar Gaza y el norte de Cisjordania, según el 
Apenas dos días después de que la  impusiera una serie de medidas a Israel sobre su conducta en la guerra en Gaza -entre ellas la de controlar y juzgar ciertas declaraciones públicas por parte de sus gobernantes-,  una docena de ministros israelíes participaron este domingo en una multitudinaria reunión en Jerusalén en la que se hicieron exhortos a revivir la colonización de Gaza y levantar de nuevo el bloque Gush Katif.
En él destacaron los ministros de extrema derecha Itamar Ben Gvir (Seguridad Interior) y Bezalel Smotrich (Finanzas), pero no fueron los únicos. También había del Likud.
En el llamado ""Congreso de la Victoria"", con más de mil participantes según distintos medios, una parte de los participantes corearon que ""Sólo un 'transfer' 
 (traslado) traerá la paz"", en alusión a la migración de población palestina de Gaza para repoblarla de asentamientos.
A lo que Ben Gvir respondió que""llevan razón"", ""hay que fomentar un 'transfer' de propia voluntad para que se vayan de aquí"".
También su compañero de partido Smotrich, se pronunció en ese sentido: ""Debemos decidir si volvemos a huir del terrorismo ... o si aprendemos la lección, nos asentamos en nuestro país a lo largo y ancho de él, lo controlamos, luchamos contra el terrorismo y , con la ayuda de Dios, llevar seguridad a todo el Estado de Israel"".
Gaza y el norte de Cisjordania fueron evacuadas de asentamientos israelíes en 2005 por el entonces primer ministro Ariel Sharón, en medio de cisma en la sociedad israelí.
Según el  en la reunión participaron otros 10 ministros, algunos del partido gobernante Likud, y 15 diputados y dirigentes políticos de varias formaciones.
Hace varias semanas, en relación con el proceso de La Haya, la fiscal general del Estado había pedido a los ministros, políticos y mandos del Ejército frenar sus declaraciones en cualquier caso que pudiera ser susceptibles de interpretaciones y sirviera para denuncias por posibles crímenes de guerra contra Israel.
El traslado forzoso de población, o la instigación a ello de manera que pueda interpretarse por el receptor como una amenaza o intimidación, podría recaer en esa categoría. 
Por ello, inmediatamente después de conocerse el veredicto de la  el viernes, también Netanyahu ordenó a sus ministros que se abstuvieran de este tipo de declaraciones.

Más información:
https://t.co/mZDyBjfdUY",España,Enfoque Judío 🇮🇱 🇮🇱 🇮🇱,ES,2024-01-28 21:05:26,2024-01-28,1900-01-01 20:05:26,enero,2024,28,domingo,Noche,40.0,-4.0,Negativo
32,2073,1751697623898038016,danywilhelm,"jodida ehhh eso es lo que le dejo israel pudo ser singapur dubai pero eligieron a hamas una organización terrorista que implosionó gaza y ni hablar del estado de guerra constante contra israel 
Agarra lo libros que les cuesta mucho a los progres antisemitas",Argentina,dany 🇮🇱🇦🇷🥂🥂,AR,2024-01-28 17:03:53,2024-01-28,1900-01-01 20:03:53,enero,2024,28,domingo,Noche,-34.0,-64.0,Neutral
33,2166,1751696650740113920,SetentaQuatro,"La acusación enumera los crímenes de guerra, las declaraciones genocidas de los gobernantes israelíes y las condiciones inhumanas experimentadas en Gaza.Es la primera acción consecuente para culpar a Israel por sus acciones contra el pueblo palestino.

Acercarse
https://t.co/lylp0a6rwa",Portugal,Setenta e Quatro,PT,2024-01-28 20:00:01,2024-01-28,1900-01-01 20:00:01,enero,2024,28,domingo,Noche,39.5,-8.0,Neutral
34,2188,1751689604996943872,meverasvolver82,Cualquier presión hacia Israel para suavizar en Gaza se acaba de ir a la mierda. Quieren guerra,sin ubicación,Alfredo Gutierrez,sin ubicación,2024-01-28 20:32:01,2024-01-28,1900-01-01 19:32:01,enero,2024,28,domingo,Noche,,,Neutral
35,2189,1751678025396060928,DerechaPeru,"Se complica la situación en Medio Oriente. 

Tres militares norteamericanos son asesinados en Jordania, frontera con Siria. Senadores estadounidenses piden que EEUU bombardee directamente a Irán. https://t.co/NzYzovj1OF",Perú,DERECHA POLÍTICA,PE,2024-01-28 13:46:00,2024-01-28,1900-01-01 18:46:00,enero,2024,28,domingo,Noche,-10.0,-76.0,Neutral
36,2230,1751689409538281984,JorgeGPires,"Antes de conocer más sobre Israel y Gaza, ninguno.Ahora, sé que fue el último presidente de EE. UU. En tratar de resolver el problema.Realmente se esforzó, y la mayoría lo consiguió.",Brasil,"🧬 Jorge Guerra Pires, PhD 🇧🇷",BR,2024-01-28 17:31:14,2024-01-28,1900-01-01 19:31:14,enero,2024,28,domingo,Noche,-10.0,-55.0,Positivo
37,2425,1751689402156217088,Jedi_Sanfermin,"Guerra en Oriente Medio, directo | Israel continúa la masacre en Gaza desoyendo el dictamen del Tribunal de la ONU https://t.co/mij8zH989d",sin ubicación,𝕵𝖊𝖉í 𝕽𝖊𝖕𝖚𝖇𝖑𝖎𝖈𝖆𝖓𝖔🔻🔴🟡🟣,sin ubicación,2024-01-28 20:31:12,2024-01-28,1900-01-01 19:31:12,enero,2024,28,domingo,Noche,,,Neutral
38,2426,1751688732489474048,fina_cote,Yo no diría que no hay muertos en Gaza pero de que NO es intencional es asi! Los Gazaties deben recriminarle a Hamas por que comenzó esta guerra absurda y los que sufren es el pueblo. Israel tiene el derecho a defenderse después de la matanza cruel del 7/10 por parte de Hamas,Indonesia,la casita,ID,2024-01-29 02:28:33,2024-01-28,1900-01-01 19:28:33,enero,2024,28,domingo,Noche,-5.0,120.0,Negativo
39,2427,1751686935376957952,elperritorubio,"Todos los videos que muestran cómo era Gaza antes de la guerra son mentirosos, pero si fueran verdad yo lo siento mucho, deberían haberlo pensado antes de meterse en Israel a masacrar a hombres, mujeres y niños solo por ser judíos.",Argentina,A n i t a 🦊✊🏻🇺🇦🇮🇱,AR,2024-01-28 16:21:24,2024-01-28,1900-01-01 19:21:24,enero,2024,28,domingo,Noche,-34.0,-64.0,Neutral
40,2520,1751686893106802944,rociovivancog,"Avi Gilad, prominente personalidad de los medios de comunicación israelí y ex presentador de televisión, sugiere que el día después de la guerra, Israel debería quemar todos los libros en Gaza. En su publicación de Facebook, Avi sugiere que ""tenemos que quemar todos sus libros…",sin ubicación,Rocío Vivanco,sin ubicación,2024-01-28 20:21:14,2024-01-28,1900-01-01 19:21:14,enero,2024,28,domingo,Noche,,,Neutral
41,2521,1751258219819696128,HoyPalestina,"Avi Gilad, prominente personalidad de los medios de comunicación israelí y ex presentador de televisión, sugiere que el día después de la guerra, Israel debería quemar todos los libros en Gaza. 

En su publicación de Facebook, Avi sugiere que ""tenemos que quemar todos sus libros de texto, de todas las profesiones en la Plaza Palestina en Gaza, y reescribirlos con libros nuevos, en los que cada página, cada línea, cada palabra pase nuestra aprobación"". Procede a comparar el sistema educativo palestino con la era nazi y pide una ""desnazificación"" de los sistemas educativos palestinos, similar a lo que hicieron los países aliados en la Segunda Guerra Mundial después de la derrota de los nazis.",Brasil,Palestina Hoy,BR,2024-01-27 12:57:51,2024-01-27,1900-01-01 14:57:51,enero,2024,27,sábado,Tarde,-10.0,-55.0,Neutral
42,2716,1751686568199299072,Eduardo_AI1917,"Las fuerzas armadas de Yemen enfrentaron barcos de guerra estadounidenses
https://t.co/ytzj6fqmni
......",sin ubicación,Eduardo Lima,sin ubicación,2024-01-28 20:19:57,2024-01-28,1900-01-01 19:19:57,enero,2024,28,domingo,Noche,,,Neutral
43,2717,1751685893058884096,JornadaSanLuis,"Doce miembros de la UNRWA fueron acusados de participar en los ataques del 7 de octubre contra Israel que desataron la guerra en la franja de Gaza.
https://t.co/qkjc1AgYyi",sin ubicación,La Jornada San Luis,sin ubicación,2024-01-28 20:17:16,2024-01-28,1900-01-01 19:17:16,enero,2024,28,domingo,Noche,,,Neutral
44,2718,1751683164701949952,antoniovieirag4,"""Las principales marcas comerciales occidentales han perdido clientes y han visto disminuir sus beneficios debido a campañas de boicot en Oriente Medio dirigidas contra las empresas que apoyan a Israel en su guerra contra Gaza.""
https://t.co/sB4bDpwcdx",sin ubicación,antoniovieiragomes 🇦🇲,sin ubicación,2024-01-28 20:06:25,2024-01-28,1900-01-01 19:06:25,enero,2024,28,domingo,Noche,,,Neutral
45,2719,1751677214251258112,frases_chanti,Vos crees que los aliados tuvieron que matar a todos y cada uno de los alemanes después de la segunda guerra mundial? La existencia de Hamás y la radicalización de la población en Gaza se debe única y exclusivamente a la existencia del Estado de Israel,Paraguay,frases emotivas,PY,2024-01-28 15:42:47,2024-01-28,1900-01-01 18:42:47,enero,2024,28,domingo,Noche,-23.0,-58.0,Neutral
46,2725,1751672894764027904,jaumeorti,"Desde la traición de nuestros ""líderes"" que nos han prometido que traigamos independencia y desde que veo que nuestros medios explican la guerra en Gaza y cómo se trata a Israel, que los únicos políticos y periodistas que no les gustan son los de ""Borgen"".",sin ubicación,(((Jaume Ortí))),sin ubicación,2024-01-28 19:25:37,2024-01-28,1900-01-01 18:25:37,enero,2024,28,domingo,Noche,,,Negativo
47,2726,1751672133619482880,Josianne123,"Continuar confundido.
Nada que hacer.
Israel regresó a las fronteras antes de la guerra de 6 días.
Dejó a Gaza como dijo la ONU.Había dos países.
Pero Hamàs quiere eliminar a Israel y a los judíos de todas partes, lo han dicho y está en su ideología.
¿Cómo se llama?",España,Josianne,ES,2024-01-28 19:22:35,2024-01-28,1900-01-01 18:22:35,enero,2024,28,domingo,Noche,40.0,-4.0,Neutral
48,2951,1751672037620297984,enriquerguerrer,"https://t.co/2IVoVY7chV -ONU YA LO SABE BIEN y SU S.G TRATA d ADVETIR CON CONOCIMIENTO d CAUSA,Israel no convate, no se defiende hoy d nada, no va contra los teroristas q permitió entrar fácil por la franja gaza; es eeuu quien veta solución anti crímenes d guerra lesa humanidad¿. https://t.co/e7UhT0jrrv",España,enrique r guerrero,ES,2024-01-28 19:22:12,2024-01-28,1900-01-01 18:22:12,enero,2024,28,domingo,Noche,40.0,-4.0,Negativo
49,3176,1751670932001710080,XaviPortales,"La portavoz de Ansarallah Mohammed Abdul Salam:

Decimos en los Estados Unidos: has superado a los nazis de los nazis y el fascismo de los fascistas.Este sangriento ""Israel"" no es más que uno de los males de América y Gran Bretaña.

No podrá presentar esta nación indefinidamente.

Detén la guerra en Gaza.https://t.co/7e11uxl7z",España,Xavi Portalés 🔴🧻🌳👨🏼‍💻🐷🐶🐥,ES,2024-01-28 19:17:49,2024-01-28,1900-01-01 18:17:49,enero,2024,28,domingo,Noche,40.0,-4.0,Negativo
50,3401,1751670419797520896,metalcontraasnu,"¿No provienen los misiles de la tira de Gaza?Sderot ¿está dónde?
Quien no es una fuente confiable.IDF informó que eliminó 9000 terroristas, ¡creo que era pequeño!¿Quién es el padre amoroso que deja a un niño en la zona de guerra?¿Quién recibe el pago por el ""mago"" asesinado en la guerra? ¡La familia del terrorista!https://t.co/snld4ocdsu",Israel,Israel Forever 🇮🇱,IL,2024-01-28 20:15:47,2024-01-28,1900-01-01 18:15:47,enero,2024,28,domingo,Noche,31.5,34.75,Positivo
51,3506,1751670191593771008,IsmaryBacallao,ACTUALIZACIÓN de la guerra Israel/Hamas. Trabajadores de Agencia de la  de ayuda a Palestina involucrados en los ataques an Israel el 7 de Octubre/23. Varios países se unen a EEUU y Canadá a suspender la ayuda financiera a esta agencia.,Canada,Ismary Bacallao ,CA,2024-01-28 14:44:52,2024-01-28,1900-01-01 18:14:52,enero,2024,28,domingo,Noche,60.0,-95.0,Neutral
52,3556,1751669303630304000,LVerdadNoticias,"Palestinos presentaron ante un tribunal federal en EEUU una acusación de complicidad del gobierno estadunidense en la guerra de Israel en Gaza.   

https://t.co/Ph0HO6qlW8",México,La Verdad Noticias,MX,2024-01-28 12:11:21,2024-01-28,1900-01-01 18:11:21,enero,2024,28,domingo,Noche,23.0,-102.0,Neutral
53,3642,1751676727812600064,rebeldesenlinea,Expertos en derechos humanos de la ONU apuntan a la corresponsabilidad de los países que están tolerando los crímenes de guerra de Israel y exigen un alto el fuego inmediato para evitar el genocidio palestino en Gaza https://t.co/klf8lOIX9Z vía,sin ubicación,rebeldes.info,sin ubicación,2024-01-28 19:40:51,2024-01-28,1900-01-01 18:40:51,enero,2024,28,domingo,Noche,,,Neutral
54,3643,1751668222645207040,_mia_sawyer_,las atrocidades de Hamas no legitiman las atrocidades de Israel. A diferencia de ti yo no justifico la barbarie. Espero detengan a todos los lideres de Hamas y a todos los responsables israelíes por sus crímenes de guerra. Ni el 7/10 ni la matanza en Gaza deben quedar impunes,sin ubicación,Mia Sawyer,sin ubicación,2024-01-28 19:07:03,2024-01-28,1900-01-01 18:07:03,enero,2024,28,domingo,Noche,,,Negativo
55,3644,1751668054155517952,GuerraSoraya,"Cuál  Genocidio?
Es una guerra entre la organización terrorista islámica Hamas y el ejército de Israel!

Hay mujeres, niños, ancianos, hombre y mujeres secuestrados por esos criminales islámicos, ya asesinaron a 21 rehenes! Todos judíos!

Gaza estará mejor sin Hamas!",United States,Soraya Guerra,US,2024-01-28 13:06:23,2024-01-28,1900-01-01 18:06:23,enero,2024,28,domingo,Noche,38.0,-97.0,Negativo
56,3726,1751666454527868928,Fibrik_Oficial,"Según funcionarios estadounidenses e israelíes, hasta el 80% de la extensa red de túneles de Hamas bajo Gaza permanece intacta a pesar de semanas de esfuerzos israelíes para destruirlos, obstaculizando los objetivos de guerra centrales de Israel. (WSJ)",sin ubicación,Camarada Fibrik,sin ubicación,2024-01-28 19:00:01,2024-01-28,1900-01-01 18:00:01,enero,2024,28,domingo,Noche,,,Neutral
57,3727,1751666451377999872,SetentaQuatro,"Israel ha asesinado a más de 100 periodistas en la Franja de Gaza y el Sur del Líbano.Desde 1990, muchos periodistas no han muerto en una sola guerra si podemos llamarlo así.

Boletin informativo
https://t.co/aq8tsj494i",Portugal,Setenta e Quatro,PT,2024-01-28 18:00:01,2024-01-28,1900-01-01 18:00:01,enero,2024,28,domingo,Noche,39.5,-8.0,Positivo
58,3749,1751666324592316928,Ja_Golo,"Gaza decidió comenzar la guerra, cuando querían.
Me parece lógico que Israel decida cómo y cuándo terminarlo.
Además, las figuras de que las mujeres son las de la propaganda de Hamas.",España,(((Ja-Golo))) ll*ll,ES,2024-01-28 18:59:30,2024-01-28,1900-01-01 17:59:30,enero,2024,28,domingo,Tarde,40.0,-4.0,Negativo
